" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Advanced Micro Devices, USA",USA,,,*,39,9576,Semiconductors,Listed,1065.70,-7,14,260.8,31.9,40.5,409,,,12.2,3346,-8,-8,249.7,1,-5,13400,-9,-7,79.5,2,20,87,2711,78,1144.34,1143.72,746.18,708.42
"Broadcom, USA",USA,,,*,39,9576,Semiconductors,Listed,950.47,2,33,2633.3,34.2,35.7,36,-66,-72,1.3,2781,-4,22,375.4,-4,-5,7407,0,27,128.3,2,6,,9889,21,927.41,835.04,691.69,402.89
"Texas Instruments, USA",USA,,,*,39,9576,Semiconductors,FT Global 500,913.99,-24,-29,74.1,14.2,21.4,1234,-17,-34,19.1,6457,-17,-23,242.9,-7,-10,26584,-10,-16,34.4,-15,-16,,17970,-4,1201.31,1334.45,1359.22,1247.76
"Apple, USA",USA,,,*,39,9572,Computer hardware,FT Global 500,869.40,25,74,18.5,3.8,7.0,4692,21,106,20.7,22625,12,63,659.6,5,3,34300,7,59,25.3,17,9,,140918,52,693.54,530.68,440.89,330.67
"Ricoh, Japan",Japan,,,*,39,9574,Electronic office equipment,Listed,827.53,-1,8,263.9,5.9,10.6,314,-74,-71,2.3,13914,-6,4,128.2,-28,-24,108500,30,37,7.6,-24,-21,49,6077,-1,838.35,764.86,734.26,734.88
"Research In Motion, Canada",Canada,,,*,39,9578,Telecommunications equipment,FT Global 500,597.46,41,168,29.8,6.5,13.2,2005,19,128,21.7,9260,35,170,667.5,17,69,13873,16,77,43.1,22,63,37,17940,-30,423.99,222.82,146.25,97.61
"Seagate Technology, Cayman Islands",Cayman Islands,,,*,39,9572,Computer hardware,Listed,590.13,-7,13,,9.7,16.2,-1646,-290,-390,-27.1,6072,-23,-4,129.2,-11,8,47000,-13,-11,12.6,7,27,29,3375,-9,636.57,559.79,498.48,399.41
"Applied Materials, USA",USA,,,*,39,9576,Semiconductors,FT Global 500,578.44,-15,-14,,18.6,23.6,-318,-140,-129,-10.2,3105,-38,-41,246.0,-28,-34,12619,-15,-10,45.8,-1,-4,81,9289,-17,683.71,707.21,713.56,582.39
"Nvidia, USA",USA,,,*,39,9576,Semiconductors,Listed,562.79,6,48,,27.3,27.3,-64,,-127,-3.1,2060,-3,3,361.0,-8,-24,5706,5,33,98.6,1,14,84,3327,-27,529.99,428.29,342.73,218.03
"ZTE, China",China,,,*,39,9578,Telecommunications equipment,Listed,554.92,46,100,159.2,10.2,12.6,349,14,96,6.4,5467,36,95,77.7,19,26,70345,15,57,7.9,27,28,,5633,1,381.23,291.21,256.94,177.74
"Seiko Epson, Japan",Japan,,,*,39,9574,Electronic office equipment,Listed,545.83,-1,-6,,7.3,12.0,-607,-282,-398,-8.1,7467,-17,-22,103.2,2,-5,72326,-19,-18,7.5,22,15,44,1797,-4,551.24,563.34,618.21,592.29
"Konica Minolta, Japan",Japan,,,*,39,9574,Electronic office equipment,Listed,544.81,1,14,203.8,8.6,15.1,267,-64,40,4.2,6305,-12,-10,171.0,-24,-23,36875,16,16,14.8,-13,-2,52,3008,2,541.26,479.88,446.86,438.98
"Freescale Semiconductor, USA",USA,,,*,39,9576,Semiconductors,Unlisted,515.82,-27,-29,,23.7,26.2,-764,,,-35.1,2172,-33,-39,120.7,-15,,18000,-21,,28.7,-7,,,,,705.93,705.31,746.46,739.98
"Marvell Technology, Bermuda",Bermuda,,,*,39,9576,Semiconductors,Listed,512.83,-11,15,247.9,29.5,30.9,207,102,211,11.9,1739,-5,15,331.7,1,-1,5241,-6,13,97.9,-6,5,,5791,10,575.88,601.15,407.59,193.74
"NXP, The Netherlands",The Netherlands,,,*,39,9576,Semiconductors,Unlisted,475.57,-36,,,20.0,22.5,-460,,,-19.3,2380,-29,,84.5,-24,,28150,-7,,16.9,-31,,,,,742.46,940.03,,
"Nortel Networks, Canada",Canada,,,*,39,9578,Telecommunications equipment,Listed,468.76,-52,-57,126.8,13.9,14.6,370,,,10.9,3377,-48,-50,,,,,,,,,,50,4,-88,974.05,1066.94,1200.69,1149.30
"MediaTek, Taiwan",Taiwan,,,*,39,9576,Semiconductors,FT Global 500,468.24,14,122,65.7,20.9,22.3,712,91,59,31.9,2236,28,65,517.8,-37,-38,4319,102,164,108.4,-44,-12,,9809,-1,411.90,177.23,114.32,139.95
"Juniper Networks, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,459.29,1,35,238.7,22.4,27.0,192,-55,127,9.4,2053,-7,23,284.0,-10,-7,7231,3,32,63.5,-2,4,49,8252,3,452.75,385.76,297.39,220.09
"Infineon Technologies, Germany",Germany,,,,39,9576,Semiconductors,Listed,457.57,-30,-48,,14.0,16.8,-586,,,-17.9,3264,-40,-48,110.6,-13,-29,29510,-30,-27,15.5,0,-30,,4026,30,655.71,704.58,1050.20,1104.40
"Xerox, USA",USA,,,*,39,9574,Electronic office equipment,Listed,441.51,-5,-6,81.8,4.7,5.3,540,265,-14,5.7,9399,-14,-7,175.4,-8,-3,53600,-6,-4,8.2,1,-2,,7716,69,464.43,473.09,471.24,467.52
"Micron Technology, USA",USA,*,,*,39,9576,Semiconductors,Listed,437.07,4,3,,13.5,23.6,-1058,,,-32.6,3245,-10,-3,178.3,12,17,18200,-20,-18,24.0,30,25,81,4482,27,421.08,498.48,406.22,373.83
"Hynix Semiconductor, South Korea",South Korea,,,*,39,9576,Semiconductors,Listed,424.74,4,49,,10.1,22.9,-185,,-438,-4.4,4204,16,8,,,,,,,,,,,6675,18,407.86,313.82,245.48,176.19
"Taiwan Semiconductor Manufacturing, Taiwan",Taiwan,,,*,39,9576,Semiconductors,FT Global 500,418.06,1,24,23.0,7.3,38.9,1817,-11,-16,31.7,5726,-11,-5,217.0,-23,-23,26390,16,23,15.8,-13,1,,30184,5,415.89,347.45,311.25,271.37
"ASML, The Netherlands",The Netherlands,,,,39,9576,Semiconductors,Listed,414.71,-13,8,,29.2,45.8,-89,-127,-115,-6.3,1418,-46,-50,235.4,-39,-52,6024,-12,3,68.8,-1,5,96,7483,10,474.26,434.44,341.16,292.32
"Tokyo Electron, Japan",Japan,,,*,39,9576,Semiconductors,Listed,387.71,-9,9,1042.7,11.5,14.9,37,-97,-95,1.1,3380,-44,-34,325.2,-44,-40,10391,0,10,37.3,-8,-1,,5538,-11,425.07,378.90,327.15,291.94
"Dell, USA",USA,,,*,39,9572,Computer hardware,FT Global 500,386.40,-6,12,28.6,1.2,1.9,1352,-30,-37,4.1,32759,-13,-10,347.4,-30,-27,94300,23,23,4.1,-24,-9,47,14564,-15,410.55,377.73,308.38,286.71
"LSI, USA",USA,,,*,39,9576,Semiconductors,Listed,376.69,-10,14,,27.4,31.5,-80,,,-5.8,1374,-17,-3,254.6,-16,-11,5397,-2,8,69.8,-8,6,,1669,-19,416.44,405.74,256.01,246.03
"NetApp, USA",USA,,,*,39,9572,Computer hardware,Listed,331.72,7,36,109.0,13.6,17.1,304,942,107,12.5,2434,15,36,292.1,10,11,8333,4,22,39.8,3,13,,8396,71,308.69,280.02,238.63,150.47
"Maxim Integrated Products, USA",USA,,,*,39,9576,Semiconductors,Listed,323.01,-10,0,3001.7,31.7,39.9,11,-96,-97,1.1,1019,-20,-13,116.3,-10,-8,8765,-11,-6,36.9,1,8,,3136,-11,357.76,408.41,318.37,203.21
"Western Digital, USA",USA,,,*,39,9572,Computer hardware,Listed,315.19,10,56,98.1,6.8,13.8,321,-48,5,7.0,4615,-8,39,100.3,1,-4,45991,-8,44,6.9,19,6,80,3473,-20,287.32,189.49,184.04,147.69
"Murata Manufacturing, Japan",Japan,,,*,39,9576,Semiconductors,Listed,311.52,11,26,,8.9,21.4,-102,-113,-115,-2.9,3485,-17,-1,104.3,-15,-13,33431,-2,15,9.3,13,10,19,6591,-1,281.25,257.23,230.79,218.48
"Corning, USA",USA,,,*,39,9578,Telecommunications equipment,FT Global 500,287.94,-9,9,22.7,8.6,25.1,1270,26,37,38.0,3341,-9,0,142.2,4,9,23500,-13,-8,12.3,5,18,,16314,7,315.81,276.18,253.27,215.49
"ASUSTeK Computer, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,287.85,3,59,81.4,2.4,3.7,354,-18,-21,3.0,11812,-9,4,,,,,,,,,,,2902,-32,278.68,176.23,149.41,117.87
"Analog Devices, USA",USA,,,*,39,9576,Semiconductors,Listed,276.81,-18,-18,156.6,22.1,24.8,177,-55,-50,14.1,1254,-25,-22,151.1,-19,-13,8300,-8,-11,33.4,-11,-8,76,5179,5,338.18,365.68,332.37,307.82
"Rohm, Japan",Japan,,,*,39,9576,Semiconductors,Listed,268.00,22,21,,12.7,29.7,-222,-153,-151,-10.5,2110,-15,-17,95.7,-21,-24,22034,7,9,12.2,14,11,8,4246,-13,219.92,225.44,224.79,215.14
"Brother Industries, Japan",Japan,,,*,39,9572,Computer hardware,Listed,245.18,8,34,327.4,7.6,12.0,75,-77,-74,2.3,3208,-15,-10,141.5,-11,-11,22668,-5,2,10.8,13,33,68,1884,9,226.94,189.27,167.95,146.28
"SanDisk, USA",USA,,,*,39,9576,Semiconductors,Listed,237.88,-11,14,64.1,10.8,12.4,371,,,16.8,2209,6,11,676.1,16,-21,3267,-8,26,72.8,-3,-15,74,5995,153,266.24,258.88,190.02,120.63
"Lexmark, USA",USA,,,*,39,9572,Computer hardware,Listed,232.40,-11,-2,180.1,9.7,15.9,129,-23,-47,5.4,2403,-14,-22,201.9,1,-8,11900,-15,-15,19.5,4,16,57,1747,103,262.12,250.05,229.43,208.31
"KLA-Tencor, USA",USA,,,*,39,9576,Semiconductors,Listed,230.02,-9,-5,,24.4,25.9,-359,-216,-217,-38.1,941,-40,-35,192.1,-26,-23,4900,-18,-16,46.9,11,13,,3024,-7,253.87,270.92,237.17,210.71
"Brocade Communications, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,219.71,39,86,1691.6,18.2,26.5,13,19,-64,1.1,1209,33,94,297.1,-7,-7,4070,44,109,54.0,-3,-14,,1351,-32,158.26,132.09,102.08,81.08
"Xilinx, USA",USA,*,,*,39,9576,Semiconductors,Listed,211.20,-4,-4,86.1,20.2,21.7,245,7,3,23.4,1048,-7,-6,355.5,-1,5,2948,-6,-11,71.6,2,7,,4013,9,220.07,221.73,240.33,201.95
"Oce, The Netherlands (now part of Canon, Japan)",The Netherlands,,,,39,9574,Electronic office equipment,Listed,193.98,-14,-1,,8.2,13.5,-17,-156,-120,-0.7,2352,-9,-10,108.7,-3,-2,21635,-7,-9,9.0,-8,8,44,414,59,226.54,183.90,179.14,195.63
"Lam Research, USA",USA,,,*,39,9576,Semiconductors,Listed,178.51,-11,12,,25.8,29.8,-175,-156,-154,-25.3,691,-55,-45,254.9,-37,-43,2711,-29,-5,65.8,25,17,85,2951,29,200.48,176.70,141.74,120.20
"Pegatron, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,173.54,38,,71.7,1.7,1.7,242,42,,2.3,10418,5,,,,,,,,,,,,1769,,125.47,,,
"National Semiconductor, USA",USA,,,*,39,9576,Semiconductors,Listed,168.87,-11,-20,84.3,19.2,22.3,200,77,-30,22.8,879,-3,-24,151.5,-3,-4,5800,0,-21,29.1,-11,0,,1903,-14,189.49,224.78,225.22,202.24
"Tellabs, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,166.39,-12,-20,286.2,17.6,20.6,58,,,6.2,945,-12,-19,286.7,-14,-13,3295,2,-8,50.5,-14,-14,35,1611,-1,188.99,212.46,221.00,213.02
"Quanta Computer, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,166.10,17,50,33.7,1.0,1.7,493,27,84,3.0,16259,3,29,,,,,,,,,,,3946,-9,141.60,103.21,96.72,102.82
"Altera, USA",USA,,,*,39,9576,Semiconductors,Listed,161.13,1,6,85.4,21.8,22.7,189,-25,-6,25.5,740,-13,-5,290.2,-5,-3,2551,-8,-2,63.2,9,8,,4745,39,159.59,164.46,154.02,129.89
"Wistron, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,160.43,29,101,70.8,1.5,2.7,227,26,65,2.1,10584,23,96,,,,,,,,,,,1883,-10,124.45,85.33,57.91,51.72
"Advantest, Japan",Japan,,,*,39,9576,Semiconductors,Listed,157.73,-22,-16,,30.9,37.3,-350,-344,-244,-68.6,510,-58,-66,160.0,-52,-62,3187,-13,-12,49.5,-11,-5,19,2534,-20,202.93,196.29,179.11,174.81
"United Microelectronics, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,155.74,-3,-13,,8.8,28.1,-9,,,-0.5,1769,-6,-13,135.6,-10,-13,13051,5,-1,11.9,-7,-13,,3551,4,160.19,186.47,182.36,186.51
"Avago Technologies, Singapore",Singapore,,,*,39,9576,Semiconductors,Listed,151.71,-8,,510.4,16.5,20.4,30,-68,,3.2,919,-13,,287.2,,,3200,,,47.4,,,,2962,,164.10,126.94,,
"Harris, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,150.78,-11,17,125.5,4.3,6.1,120,-72,-63,3.5,3467,5,40,225.2,13,35,15400,-7,4,9.8,-5,13,,3523,29,170.29,145.27,116.29,85.02
"Lenovo, Hong Kong",Hong Kong,,,*,39,9572,Computer hardware,Listed,132.73,-3,-5,98.7,1.3,1.5,135,,92,1.3,10282,11,11,463.1,13,14,22205,-1,-6,6.0,-1,-4,,3670,35,136.24,161.84,140.79,118.99
"Atmel, USA",USA,,,*,39,9576,Semiconductors,Listed,131.31,-19,-23,,17.4,20.0,-77,,,-10.3,754,-22,-27,134.6,-11,-3,5600,-13,-25,23.4,-7,2,83,1643,49,161.19,168.46,179.03,171.29
"NCR, USA",USA,,,*,39,9572,Computer hardware,Listed,125.09,-4,-23,,4.4,7.0,-51,-129,-122,-1.8,2856,-13,-22,132.8,-10,-8,21500,-4,-16,5.8,0,-6,56,1232,-9,130.66,114.56,203.11,197.54
"ON Semiconductor, USA",USA,,,*,39,9576,Semiconductors,Listed,123.10,-15,42,144.2,11.2,14.4,85,,42,7.8,1095,-14,10,85.0,-5,4,12887,-9,7,9.6,-7,36,,1698,-17,144.84,82.36,62.67,58.02
"Pitney Bowes, USA",USA,,,*,39,9574,Electronic office equipment,Listed,118.52,-10,-1,20.9,3.4,6.4,568,-1,-10,16.5,3449,-11,-6,104.5,-5,-8,33004,-6,1,3.6,-4,-3,,2502,-10,131.72,128.35,111.57,106.39
"Ciena, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,117.85,9,38,,29.2,32.9,-362,-2773,-6605,-89.6,404,-28,-2,186.8,-26,-20,2163,-2,24,54.5,11,11,,703,-1,108.38,78.83,68.78,84.99
"Linear Technology, USA",USA,,,*,39,9576,Semiconductors,Listed,115.08,-6,10,45.1,19.2,23.2,255,-28,-27,42.5,600,-18,-12,157.0,-10,-14,3821,-8,2,30.1,3,9,,4060,11,122.04,113.67,99.60,81.39
"Cypress Semiconductor, USA",USA,,,*,39,9576,Semiconductors,Listed,112.20,-6,-15,,27.1,31.0,-91,,,-21.9,414,-63,-50,114.9,-58,-26,3600,-12,-37,31.2,7,28,,1031,-3,119.84,116.29,151.16,140.42
"OKI Electric, Japan",Japan,,,*,39,9578,Telecommunications equipment,Listed,111.92,-8,-17,,3.1,6.2,-202,-986,-521,-5.6,3630,-24,-22,208.4,-1,-5,17415,-23,-19,6.4,20,2,,342,-26,121.27,141.72,130.47,146.25
"3Com, USA (now part of Hewlett-Packard)",USA,,,*,39,9578,Telecommunications equipment,Unlisted,111.45,-13,16,120.0,13.7,14.9,93,,,11.4,816,2,31,139.0,6,-1,5868,-4,18,19.0,-9,-11,,,,127.97,133.53,63.08,58.57
"Chartered Semiconductor, Singapore",Singapore,,,*,39,9576,Semiconductors,Unlisted,110.14,11,29,,10.7,45.4,-28,-202,-270,-2.7,1029,23,40,171.3,,,6004,,,18.3,,,,,,98.93,94.59,75.59,73.24
"Palm, USA (now part of Hewlett-Packard)",USA,,,*,39,9572,Computer hardware,Unlisted,109.73,-13,14,,24.1,25.9,-189,,-1462,-41.6,456,-44,-49,485.3,-38,-41,939,-11,-13,116.9,-2,33,17,,,125.56,118.24,84.19,55.61
"Dainippon Screen Mfg, Japan",Japan,,,*,39,9576,Semiconductors,Listed,106.92,-1,9,,7.3,9.6,-163,-337,-227,-11.2,1457,-22,-20,291.9,-21,-24,4992,-1,5,21.4,0,4,27,796,45,108.08,112.31,88.26,84.00
"JDS Uniphase, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,105.33,-10,12,,13.1,17.4,-573,,,-71.5,802,-15,7,200.4,50,78,4000,-44,-39,26.3,61,87,54,1401,79,116.48,104.28,96.29,58.02
"ARM, UK",UK,,,,39,9576,Semiconductors,Listed,104.56,36,42,230.0,34.3,36.3,45,-24,1,14.9,305,2,16,177.0,1,2,1723,1,13,60.7,35,24,85,4056,162,76.73,73.78,74.70,70.22
"CSR, UK",UK,,,,39,9578,Telecommunications equipment,Listed,103.79,10,45,,27.9,29.1,-10,,-115,-2.6,372,-13,-12,319.1,-22,-39,1167,11,39,88.9,-1,6,88,577,-30,94.59,87.27,67.69,37.37
"Inventec, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,102.65,1,37,90.2,1.2,1.2,114,90,55,1.3,8616,17,62,,,,,,,,,,,971,-4,101.20,80.28,66.59,52.12
"Teradyne, USA",USA,,,*,39,9576,Semiconductors,Listed,102.07,-24,-23,,20.1,25.2,-76,,,-14.9,507,-26,-30,175.0,-3,-8,2900,-24,-24,35.2,0,1,74,1079,27,134.04,126.54,129.24,138.10
"Semiconductor Manufacturing, China",China,,,*,39,9576,Semiconductors,Listed,99.54,57,73,,15.0,35.3,-644,,,-97.1,663,-21,-23,64.3,-19,-25,10307,-3,3,9.7,62,67,,1130,62,63.31,60.09,58.31,48.84
"Integrated Device Technology, USA",USA,,,*,39,9576,Semiconductors,Listed,97.52,-2,1,,29.4,31.8,-23,,,-7.0,332,-19,-23,165.6,-15,-9,2004,-5,-16,48.7,3,19,83,520,-24,99.82,102.54,103.06,79.01
"PMC-Sierra, USA",USA,,,*,39,9576,Semiconductors,Listed,92.38,-5,0,266.3,30.1,31.3,35,16,,11.3,307,-6,17,284.7,-7,13,1079,1,4,85.6,-7,-3,87,1025,-16,97.62,98.54,98.25,73.52
"Novellus Systems, USA",USA,,,*,39,9576,Semiconductors,Listed,92.33,-32,-37,,23.3,25.2,-47,,-149,-11.8,396,-37,-54,155.6,-24,-36,2544,-17,-27,36.3,-19,-14,,1404,34,136.02,149.25,151.22,153.15
"Intersil, USA",USA,,,*,39,9576,Semiconductors,Listed,89.82,1,11,350.9,23.7,25.5,26,,,6.8,379,-21,-15,251.9,-19,-18,1503,-2,4,59.8,3,7,,794,-24,88.91,83.21,78.31,73.23
"Sanken Electric, Japan",Japan,,,*,39,9576,Semiconductors,Listed,89.59,-1,11,,9.2,17.5,-61,-256,-191,-6.2,978,-20,-18,97.2,-18,-20,10063,-3,-2,8.9,2,9,14,263,-10,90.94,85.06,74.84,71.39
"RF Micro Devices, USA",USA,,,*,39,9576,Semiconductors,Listed,86.05,-19,-24,131.1,14.2,15.1,66,,,10.8,606,10,8,164.3,23,7,3687,-10,-2,23.3,-10,-24,,683,-19,105.75,128.41,114.55,104.56
"QLogic, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,84.73,3,11,134.7,24.9,29.4,63,-40,-38,18.5,340,-13,-9,327.6,-14,-15,1038,1,8,81.6,2,3,54,1001,-5,82.51,83.39,83.79,55.58
"Spansion, USA",USA,,,*,39,9576,Semiconductors,Listed,84.49,-68,-66,,9.7,11.8,-308,,,-35.2,874,-38,-43,256.9,58,55,3400,-61,-63,24.9,-19,-10,85,578,3957,267.39,270.47,215.33,
"Logitech International, Switzerland",Switzerland,,,*,39,9572,Computer hardware,Listed,84.10,5,21,173.3,6.9,8.9,49,-27,-62,4.0,1218,-11,-7,122.5,-43,-30,9944,57,31,8.5,-33,-9,,1816,-11,79.73,77.12,67.04,54.46
"Italtel, Italy",Italy,,,,39,9578,Telecommunications equipment,Unlisted,83.46,-9,4,,20.1,22.1,-26,-369,-172,-6.3,416,-14,-14,179.2,-14,-12,2319,0,-1,36.0,-9,5,17,,,91.88,93.22,80.75,55.65
"Atheros Communications, USA",USA,,,*,39,9576,Semiconductors,Listed,80.87,7,53,647.8,24.1,24.8,12,94,21,3.7,336,15,58,258.0,-5,-14,1302,21,77,62.1,-11,-17,,1126,21,75.28,62.50,44.02,29.59
"Emulex, USA",USA,,,*,39,9572,Computer hardware,Listed,80.37,0,25,10199.6,34.3,40.8,1,-98,-98,0.3,234,-23,-13,305.0,-14,-23,768,-10,12,104.7,12,12,62,419,-17,80.03,72.97,55.53,49.52
"Lite-On Technology, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,79.54,-18,-4,38.5,2.2,4.9,207,139,20,5.7,3601,-19,-21,,,,,,,,,,,1674,8,96.45,89.31,72.76,71.31
"Sunplus Technology, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,77.50,-14,4,854.7,22.4,23.2,9,,-69,2.6,346,10,-21,,,,,,,,,,,285,36,89.74,82.58,71.60,54.78
"Arris, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,77.13,11,61,83.3,11.2,12.9,93,,303,13.5,686,-3,19,364.1,-6,-26,1884,3,41,40.9,8,0,,694,-33,69.69,44.11,40.89,37.24
"Realtek Semiconductor, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,77.08,-33,20,174.3,19.6,24.7,44,426,54,11.3,393,21,44,,,,,,,,,,,684,5,114.91,58.85,44.93,37.97
"Skyworks Solutions, USA",USA,,,*,39,9576,Semiconductors,Listed,76.78,-15,-16,168.8,15.5,20.3,45,-24,80,9.2,497,-7,1,150.6,-7,11,3300,0,-10,23.3,-15,-7,87,1886,60,90.42,78.07,101.62,94.26
"Microchip Technology, USA",USA,,,*,39,9576,Semiconductors,Listed,74.82,5,9,47.6,12.7,17.8,157,11,-16,26.8,587,5,-3,108.3,-5,-17,5418,11,16,13.8,-6,-7,,3312,8,71.54,74.84,70.41,58.78
"Polycom, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,72.81,-13,-2,168.8,12.2,16.1,43,-25,-16,7.2,599,-10,19,222.4,-11,-6,2693,2,27,27.0,-15,-24,,1419,19,83.78,86.08,70.80,56.65
"Pace, UK",UK,,,,39,9578,Telecommunications equipment,Listed,71.71,20,83,103.8,6.3,7.5,69,376,1210,6.1,1133,52,161,1071.3,10,64,1058,39,63,67.8,-13,14,62,637,-3,59.58,36.87,31.33,28.77
"Advanced Semiconductor Engineering, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,69.93,-7,15,37.2,4.2,17.6,188,-13,-19,11.3,1661,-9,-10,56.2,-17,,29538,9,,2.4,-15,,,2826,14,75.06,63.58,50.96,53.93
"Electronics For Imaging, USA",USA,,,*,39,9572,Computer hardware,Listed,68.63,-21,-15,,27.6,28.9,-41,,,-16.7,248,-28,-28,135.9,-21,-24,1827,-10,-4,37.6,-13,-10,,292,-12,86.96,87.41,79.20,67.82
"Zoran, USA",USA,,,*,39,9576,Semiconductors,Listed,68.23,-2,7,,29.0,30.0,-23,,,-9.7,235,-13,-17,189.3,-2,-12,1243,-12,-6,54.9,11,13,93,258,-30,69.71,70.06,61.37,55.13
"TriQuint Semiconductor, USA",USA,,,*,39,9576,Semiconductors,Listed,67.77,20,72,643.2,16.7,24.1,11,,201,2.6,405,14,49,169.3,10,19,2393,4,27,28.3,15,38,,665,3,56.64,40.47,31.14,28.92
"Qisda, Taiwan",Taiwan,,,*,39,9572,Computer hardware,Listed,67.36,-5,-54,,2.3,4.5,-3,,,-0.1,2907,-11,-19,,,,,,,,,,,694,19,70.83,80.21,290.79,149.19
"Nanya Technology, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,66.57,-46,-44,,8.1,43.4,-383,,,-46.4,826,16,-21,,,,,,,,,,,1600,86,123.84,125.43,122.65,101.46
"Silicon Laboratories, USA",USA,,,*,39,9576,Semiconductors,Listed,64.64,3,1,157.2,23.7,25.7,41,54,71,15.1,273,6,4,371.1,5,-5,736,1,10,87.8,2,-8,88,1089,-7,62.67,55.31,75.37,62.68
"F5 Networks, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,64.19,-1,63,85.0,15.9,17.7,75,21,32,18.7,404,0,41,245.7,3,10,1646,-3,28,39.0,2,32,45,4180,137,65.08,42.75,30.45,19.41
"Tekelec, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,62.13,0,-14,143.9,21.4,25.4,43,10,,14.9,291,2,-8,263.9,0,4,1101,1,-15,56.4,-2,-1,,475,-31,62.30,57.11,91.92,77.82
"Winbond Electronics, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,61.99,-10,-33,,12.0,28.0,-115,,,-22.2,517,4,-13,,,,,,,,,,,632,35,69.14,96.59,91.15,113.14
"Fairchild Semiconductor, USA",USA,,,*,39,9576,Semiconductors,Listed,61.74,-12,-2,,8.4,13.4,-28,,-387,-3.8,735,-25,-25,85.9,-14,-17,8563,-12,-9,7.2,1,8,88,620,-11,69.91,67.99,66.57,48.05
"International Rectifier, USA",USA,,,*,39,9576,Semiconductors,Listed,60.82,-7,-12,,13.3,16.1,-161,,-437,-35.1,458,-25,-35,116.4,-3,-5,3939,-23,-31,15.4,20,27,,798,6,65.52,76.04,68.99,64.94
"Infinera, USA",USA,,,*,39,9576,Semiconductors,Listed,60.18,21,89,,31.4,36.4,-55,-222,,-28.9,191,-40,49,196.5,-43,,974,4,136,61.8,16,,28,499,10,49.80,37.68,24.13,15.47
"Avocent, USA (now part of Emerson Electric)",USA,,,*,39,9572,Computer hardware,Unlisted,59.89,10,52,305.8,14.7,16.3,20,-37,-36,4.8,407,9,42,206.5,0,-33,1971,10,85,30.4,0,-29,,,,54.42,39.55,35.23,28.08
"Powerchip Semiconductor (now Powerchip Technology), Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,59.84,-6,20,,8.6,25.1,-386,,,-55.6,694,-34,-48,,,,,,,,,,,824,57,63.63,53.91,49.35,33.32
"Finisar, USA",USA,,,*,39,9578,Telecommunications equipment,Listed,58.69,3,33,861.1,14.9,19.8,7,,,1.7,394,18,44,57.2,-15,-10,6893,38,61,8.5,-25,-17,65,666,255,57.01,47.40,39.98,32.14
"Verigy, Singapore",Singapore,,,*,39,9576,Semiconductors,Listed,56.97,-11,,,28.5,31.0,-79,-806,,-39.3,200,-53,,133.3,-49,,1500,-9,,38.0,-2,,,301,-33,63.78,56.35,,
"Disco, Japan",Japan,,,*,39,9576,Semiconductors,Listed,56.75,2,25,1089.7,16.1,41.8,5,-96,-95,1.5,353,-42,-31,144.9,-46,-45,2438,8,27,23.3,-5,-2,21,1232,1,55.42,42.67,42.26,41.61
"VIA Technologies, Taiwan",Taiwan,,,*,39,9576,Semiconductors,Listed,56.51,,,,52.6,52.6,-56,,,-52.1,107,-32,-67,,,,,,,,,,,536,,0.00,0.00,0.00,0.00
"Taiyo Yuden, Japan",Japan,,,*,39,9576,Semiconductors,Listed,56.30,-5,7,,4.6,19.1,-141,-209,-275,-11.4,1234,-22,-9,70.6,-10,1,17478,-13,-10,3.2,10,18,12,842,-12,59.12,54.59,47.20,50.43
